 Category, Value, Question, Answer
MUSIC,$400 ,The name of this set of 12 Schumann piano pieces is French for butterflies,"""Papillon"""
SPORTS,$400 ,In 2008 this team won its 17th NBA championship by defeating the Lakers,the Boston Celtics
ANIMALS,$100 ,All but one of the domesticated breeds of this animal are derived from the mallard,Duck
ANIMALS,$200 ,The screech type of this creature may make its nest in a Saguaro cactus,Owl
ANIMALS,$300 ,The Weddell species of this animal can stay underwater for over an hour,Seal
ANIMALS,$400 ,"Similar to a wattle, it's the throat flap of Zebu cattle or the mole anole lizard",Dewlap
ANIMALS,$500 ,Dingoes go after these burrowing marsupials that come in a common & a hairy-nosed type,Wombats
ANIMALS,$100 ,"Lizards & these creatures, like pythons & cobras, make up the largest group of reptiles",Snakes
HISTORY,$100 ,"Only 7 prisoners were inside this fortress when it was stormed by French citizens July 14, 1789",The Bastille
ANIMALS,$200 ,Acacia leaves are the favorite food of this tallest mammal,Giraffe
HISTORY,$200 ,In 1923 it replaced Constantinople as the capital of Turkey,Ankara
ANIMALS,$300 ,"Found chiefly in Australia, the wallaby is a smaller type of this marsupial",Kangaroo
HISTORY,$300 ,"It's estimated that as many as 300,000 Ugandans were killed during his 1970s regime",Idi Amin
ANIMALS,$400 ,A white whale & a large white sturgeon prized for its caviar share this name,Beluga
HISTORY,$500 ,"In 1975, the Himalayan country of Sikkim was absorbed by this country",India
ANIMALS,$500 ,These performing horses trained at the Spanish Riding School in Vienna are bred elsewhere for farmwork,Lipizzaner Stallions
HISTORY,$500 ,"In January of 1926, Theodoros Pangalos declared himself dictator of this country - he was deposed in August",Greece
ANIMALS,$200 ,Its legs are 6 feet long & its neck can be even longer,a giraffe
ANIMALS,$400 ,Bactrian & dromedary are the 2 main types of this desert creature,a camel
ANIMALS,$400 ,"Pythons are oviparous, meaning they do this",lay eggs
MUSIC,$200 ,Composer baptized with the given names Joannes Chrysostomus Wolfgangus Theophilus,Wolfgang A. Mozart
MUSIC,$400 ,"Shakespeare mentioned this folk tune attributed to Henry VIII in ""The Merry Wives of Windsor""","""Greensleeves"""
HISTORY,$200 ,"The Magna Carta of 1215 & The Stamp Act Protest of 1765 opposed this ""without representation""",taxation
HISTORY,$400 ,The last Abbasid Caliph was killed in 1258 when these Asian warriors sacked Baghdad,the Mongols
HISTORY,$100 ,"In accepting this charter, King John acknowledged that he too was subject to the law of the land",Magna Carta
HISTORY,$200 ,"His son-in-law, Galeazzo Ciano, was executed by Fascists as a traitor in January 1944",Benito Mussolini
HISTORY,$300 ,Theodora helped save the Byzantine throne by keeping Justinian from fleeing this city during the Nika Riots,Constantinople
HISTORY,$400 ,The Osmanli Empire became known as this in English,Ottoman Empire
SPORTS,$100 ,A Japanese teacher named Jigaro Kano developed this modern version of jujitsu in the 1880s,Judo
SPORTS,$200 ,This noted horsewoman who competed at the Montreal Olympics in 1976 is also a princess,Princess Anne
SPORTS,$300 ,"Originally bred in India, it's the type of bull most often seen in bull riding contests",Brahma
SPORTS,$400 ,In 1947 she became the 1st American woman to win the British Women's Amateur golf tournament,Babe Didrikson Zaharias
SPORTS,$500 ,Romania's Maricica Puica won the infamous 1984 race in which these 2 runners collided,Zola Budd & Mary Decker Slaney
SPORTS,$100 ,"Regret, Genuine Risk & Winning Colors are the only fillies to win this Triple Crown race",Kentucky Derby
SPORTS,$200 ,This sterling silver yachting trophy was designed by London's Robert Garrard Crown jewelers in 1848,the America's Cup
SPORTS,$300 ,"American winners of this Olympic event include Bob Mathias, Rafer Johnson & Bruce Jenner",the decathlon
SPORTS,$400 ,The insignia of this National League baseball team features a mountain peak,the (Colorado) Rockies
SPORTS,$500 ,Bill Walton of this school was the outstanding player of the NCAA basketball tournament in 1972 & 1973,UCLA
SPORTS,$100 ,He's the only Chicago Bulls player named Rookie of the Year,Michael Jordan
SPORTS,$200 ,"On May 30, 1976 Johnny Rutherford won this rain-shortened auto race after driving only 255 miles",The Indianapolis 500
SPORTS,$300 ,In 1995 this New Jersey team won its first Stanley Cup by sweeping the Detroit Red Wings in 4 games,New Jersey Devils
SPORTS,$400 ,This American League team was once known as the Plymouth Rocks,Boston Red Sox
SPORTS,$500 ,"At 1 1/2 miles, this third leg of horse racing's Triple Crown is the longest of the 3 races",The Belmont Stakes
HISTORY,$200 ,In 2006 FEMA & the U.S. Geological Survey sponsored a conference commemorating the 100th anniversary of this event,the San Francisco earthquake
HISTORY,$400 ,In 1785 he graduated 42nd out of 58 at his military school in Paris,Napoléon Bonaparte
ANIMALS,$100 ,These rodents first got to America by stowing away on ships,rats
ANIMALS,$200 ,"There are about 40,000 muscles & tendons in this part of an elephant's body",the trunk
ANIMALS,$300 ,"When husbands ""pop"" for an ermine coat, they're actually buying this fur",weasel
ANIMALS,$400 ,"Close relative of the pig, though its name means ""river horse""",the hippopotamus
ANIMALS,$500 ,"If this species of hybrid's parents were reversed, you'd get a hinny",a mule
HISTORY,$100 ,"At the same time Joan of Arc led the French, Itzcoatl was leading this group in Mexico",Aztecs
HISTORY,$200 ,"People began digging up this Italian city in 1748, only 1,669 years after it was buried",Pompeii
HISTORY,$300 ,4 treaties to mitigate the horrors of war were signed in this city in August 1949,Geneva
HISTORY,$500 ,The Pope excommunicated her in 1570 after she made the Anglican church England's official religion,Elizabeth I
HISTORY,$500 ,This cardinal helped establish the Academie Francaise in the 1630s,Cardinal Richelieu
MUSIC,$400 ,"An odd subject for an opera, but composer John Adams wrote one about this president's 1972 trip to China",Richard Nixon
HISTORY,$200 ,"After finding this man, Henry Morton Stanley spent the next 4 months traveling with him",Dr. David Livingstone
ANIMALS,$200 ,"This extremely venomous snake, the largest of the mambas, is green when young",black mamba
HISTORY,$400 ,Around 1240 this mongol's grandson Batu founded the Golden Horde,Genghis Khan
ANIMALS,$400 ,"The Beluga type of this fish may weigh over 2,800 pounds",Sturgeon
MUSIC,$200 ,This tone poem by Richard Strauss was based on a book by Cervantes,Don Quixote
MUSIC,$400 ,"In boogie-woogie piano music, the left had plays this many beats to the bar repeatedly",eight
SPORTS,$100 ,"On July 9, 1922 this future movie Tarzan became the first to swim the 100-meter freestyle in under a minute",Johnny Weissmuller
SPORTS,$200 ,Kim Zmeskal & Shannon Miller are the only U.S. women to win the all-around title at these world championships,Gymnastics
SPORTS,$300 ,"Of the four Grand Slam golf tournaments, it's the only one played outside the U.S.",British Open
SPORTS,$400 ,"With a capacity of 63,000, this San Francisco ballpark is the National League's largest",Candlestick Park
SPORTS,$500 ,The first to win this Patriots' Day event was John McDermott in 1897,Boston Marathon
ANIMALS,$100 ,"On a turtle, it's made up of a carapace & plastron",Shell
ANIMALS,$200 ,Only gorillas & these other primates walk on their knuckles,Chimpanzees
ANIMALS,$300 ,Sapsuckers are a type of these birds that extract insects from trees by strokes of their bills,Woodpeckers
ANIMALS,$400 ,"Biologist Johannes Schmidt located the Sargasso Sea breeding area of this ""elongated"" freshwater fish",Eel
ANIMALS,$500 ,"These small, slender mammals often kept as pets were domesticated from the European polecat",Ferrets
SPORTS,$200 ,"The New York Giants' Monte Irvin said that this trailblazer ""opened the door of baseball to all men""",Jackie Robinson
SPORTS,$400 ,"This Green Bay Packer vied for Cameron Diaz' affection in the movie ""There's Something About Mary""",Brett Favre
ANIMALS,$100 ,"When threatened, the crested one of these erects & rattles its quills",Porcupine
ANIMALS,$200 ,Some Arabs believe the eggshells of these tallest birds are magical & use them to repel lightning,Ostriches
ANIMALS,$300 ,"The honey possum, a tiny marsupial, feeds on this sweet liquid, a favorite of hummingbirds",Nectar
ANIMALS,$400 ,The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,Tail
ANIMALS,$500 ,"As its name implies, the geochelone elephantopus of the Galapagos is a really big one of these",Tortoise
SPORTS,$100 ,In 1941 this heavyweight boxing champ successfully defended his title a record 7 times,Joe Louis
SPORTS,$200 ,"The only NHL team from the U.S. to win the Stanley Cup in the 1980s was this Uniondale, NY based team",the New York Islanders
SPORTS,$300 ,"Star, Flying Dutchman & Tornado are classes in this Olympic sport",yachting
SPORTS,$400 ,In the 1960s & 1970s he was professional golf's leading money winner 8 times,Jack Nicklaus
SPORTS,$500 ,"On June 16, 1987, for the first time in a single meet, 3 men cleared 28' in this field event",the long jump
ANIMALS,$100 ,"In a matter of minutes, a school of these South American fish can reduce a large mammal to a skeleton",Piranha
ANIMALS,$200 ,"A popular performer at aquariums, this dolphin is named for the shape of its snout",Bottlenose dolphin
ANIMALS,$300 ,"These swift felines of Africa & Asia are also known as ""hunting leopards""",Cheetahs
ANIMALS,$400 ,The name of this graceful antelope may remind you of a classic Chevy,Impala
ANIMALS,$500 ,These Arctic rodents famous for their mass migrations are a favorite food of the snowy owl,Lemmings
MUSIC,$400 ,"You can get the Mahler ""Symphony of a Thousand"" with the London Philharmonic Orch. & London Philharmonic this",Choir
HISTORY,$100 ,"On Sept. 9, 1087, this English king died at Rouyn in Normandy after falling from his horse",William the Conqueror
HISTORY,$200 ,The first 18 years of this French king's reign were managed by Cardinal Mazarin,Louis XIV
HISTORY,$300 ,"As a child, Roman emperor Gaius Julius Caesar Germanicus was nicknamed this, meaning ""little boot""",Caligula
HISTORY,$400 ,In 1524 this Florentine navigator became the first European to visit the New York area,Giovanni da Verrazzano
HISTORY,$500 ,"This territory, known for its coal mines, voted to become part of Germany in 1935",The Saar
ANIMALS,$100 ,"Unlike other species of this polar bird, the emperor breeds in the winter months of May & June",Penguin
ANIMALS,$200 ,"The ""rainbow"" on this fish is a band of red on each of its sides",Trout
ANIMALS,$300 ,This pigeon relative is named for its sad cooing sound,Mourning dove
ANIMALS,$400 ,"The ""black"" species of this large horned mammal can grasp twigs with its upper lip",Rhinoceros
ANIMALS,$500 ,This colorful eagle is unpopular with U.S. sheep ranchers because it preys on rams,Golden eagle
SPORTS,$100 ,He scored 12 career goals in World Cup competition; now he's Brazil's special minister for sports,Pele
SPORTS,$200 ,"From 1987-1995, this German tennis star won 18 womens' singles Grand Slam tournaments",Steffi Graf
SPORTS,$300 ,"Other than the Olympics, this Romanian's only World Gymnastics Championship came in 1978 on the balance beam",Nadia Comaneci
SPORTS,$400 ,"In the 1980s, this Spaniard became the youngest golfer to win the Masters & helped Europe win 3 Ryder Cups",Seve Ballesteros
SPORTS,$500 ,Jacky Ickx has won this 24-hour French auto race a record 6 times,24 Hours of Le Mans
ANIMALS,$100 ,The largest of the seals is named for this largest land animal,Elephant Seal
ANIMALS,$200 ,1 of 2 egg-laying mammals of Australia,Duck-billed Platypus & Echidna
ANIMALS,$300 ,"The hide of this wild Tibetan ox is used for leather, & it's flesh is used for food",Yak
ANIMALS,$400 ,"With its single-twisted horn, it's known as ""the unicorn of the whale family""",Narwhal
ANIMALS,$500 ,"This fish, named for its ability to breathe out of water, can drown if held underwater",Lungfish
MUSIC,$200 ,"1968's ""Switched On Bach"" popularized the Moog type of this instrument",Synthesizer
MUSIC,$400 ,In musical notation this sign cancels a previous sharp or flat,Natural
MOVIES,$100 ,"In the series, this film falls between ""Star Wars"" & ""Return of the Jedi""","""The Empire Strikes Back"""
MOVIES,$200 ,"Mia Farrow, Whoopi Goldberg & Prince have all starred in films with this color in the title",Purple
MOVIES,$300 ,"Patsy Swayze, Patrick's mom, has a home video that'll teach you moves like her son made in this 1987 film","""Dirty Dancing"""
MOVIES,$400 ,"In 1989 he starred in 1 of the 3 ""New York Stories"" & as one of the ""Three Fugitives""",Nick Nolte
MOVIES,$500 ,"Estevez, Sheen, Sutherland, Phillips, Mulroney & Siemaszko collectively in a 1988 film","""Young Guns"""
MUSIC,$200 ,"Irving Berlin could play this instrument in 1 key only, so he used a special gadget to help him switch keys",Piano
MUSIC,$400 ,"This singer & his wife Linda wrote the Oscar-nominated theme song for the 007 film ""Live And Let Die""",Paul McCartney
ANIMALS,$100 ,This Arctic bear may travel 40 miles a day on ice floes,Polar bear
ANIMALS,$200 ,"In the mountain ""mist"" of central & w. Africa you can still find a few of these endangered mammals",Gorillas
ANIMALS,$300 ,It's the nearly extinct tiger seen here in its natural habitat:,Siberian tiger
ANIMALS,$400 ,In 1961 a federal law banned the importation of this South American fish into the U.S.,Piranha
ANIMALS,$500 ,"The Western Hemisphere's largest snake, it's also called a water boa",Anaconda
SPORTS,$200 ,Rosie Ruiz reportedly rode the subway to reach the finish line of this 1979 NYC race,New York City Marathon
SPORTS,$400 ,UCLA's football team has vanquished this crosstown rival in their last 8 matchups,USC (University of Southern California)
MUSIC,$400 ,"The ""Bodyguard"" soundtrack spawned her hit ""I Will Always Love You""",Whitney Houston
SPORTS,$100 ,In this mid-1980s this team from Edmonton won the NHL's Stanley Cup 4 years out of 5,the Oilers
SPORTS,$200 ,"Lyn St. James was named Rookie of the Year at this May 24, 1992 auto race, the first woman so honored",the Indianapolis 500
SPORTS,$300 ,"From 1976 to 1980, this Swede won 5 straight Wimbledon men's singles championships",Björn Borg
SPORTS,$400 ,"From 1964 through 1968, she was the U.S. women's figure skating champion",Peggy Fleming
SPORTS,$500 ,"While playing for this team, O.J. Simpson led the NFL in rushing yardage 4 times",the Buffalo Bills
HISTORY,$200 ,This island's harbor of Mandraki was once guarded by a colossal 120'-high statue,Rhodes
MUSIC,$200 ,"This ""low"" clef is also known as the F clef",bass clef
HISTORY,$400 ,"On his 1977 visit to Jerusalem, this Egyptian president prayed at the al-Aqsa mosque",Anwar Sadat
MUSIC,$400 ,Messe des Morts is the French term for this kind of mass,a mass of the dead (requiem)
HISTORY,$100 ,Sung T'ai Tsu founded this country's Sung dynasty in 960,China
HISTORY,$200 ,This island famous for its stone statues was annexed by Chile in 1888,Easter Island
HISTORY,$300 ,In 1860 the Second Maori War broke out in this country,New Zealand
HISTORY,$400 ,In 1989 this former Philippine leader died in exile in Hawaii,Ferdinand Marcos
HISTORY,$500 ,In 1521 Martin Luther was summoned to the Diet of this city to renounce his beliefs,Worms
SPORTS,$100 ,"On June 14, 1995 this team led by Hakeem Olajuwon won its second straight NBA title",Houston Rockets
SPORTS,$200 ,"In 1985 he became the first jockey to win over $100,000,000 in career purses",Willie Shoemaker
SPORTS,$300 ,"Muhammad Ali called his 1974 heavyweight fight with this recent champ the ""Rumble In The Jungle""",George Foreman
SPORTS,$400 ,He won the Indy 500 in 1992 & 1994; his father won the race on 4 previous occasions,"Al Unser, Jr."
SPORTS,$500 ,In 1944 swimmer Ann Curtis became the 1st woman to receive this award as the nation's oustanding amateur athlete,Sullivan Award
HISTORY,$100 ,The California Gold Rush started the first big wave of immigration from this Asian nation,China
HISTORY,$200 ,In the 1880s the Mahdi led a revolution in the Sudan to restore the prominence of this religion,Islam
HISTORY,$300 ,"As Secretary of War from 1904 to 1908, William Howard Taft oversaw construction of this waterway",Panama Canal
HISTORY,$400 ,In 1939 he wrote to FDR to present the military potential of an uncontrolled fission chain reaction,Albert Einstein
HISTORY,$500 ,"Born aboard the Mayflower in the New World, he grew up to be a captain of militia, & maybe a falconer too",Peregrine White
SPORTS,$100 ,"Co-captains of the 1992 Olympic basketball ""Dream Team"" were Magic Johnson & this Celtics star",Larry Bird
SPORTS,$200 ,This NFL team's logo features a pirate with a dagger in his mouth,the Tampa Bay Buccaneers
SPORTS,$300 ,"With a capacity of just 38,756, this Chicago Cubs stadium is the smallest in the National League",Wrigley Field
SPORTS,$400 ,"From 1927 to 1945, this World War I flying ace owned the Indianapolis Speedway",Rickenbacker
SPORTS,$500 ,"On July 4, 1919 this boxer from Manassa, Colo. defeated Jess Willard to win the world heavyweight title","(Jack) Dempsey (the ""Manassa Mauler"")"
MOVIES,$100 ,"Police equipment featured in ads for Clint Eastwood's ""Tightrope""",handcuffs
MOVIES,$200 ,"Bo Derek film released unrated so it wouldn't get an ""X""",Bolero
MOVIES,$300 ,"""Flashdance"" song whose lyrics were changed to make a mad killer a mad dancer","""Maniac"""
MOVIES,$400 ,"Gene Wilder's remake of the '77 French comedy ""Pardon mon Affaire""",The Woman in Red
MOVIES,$500 ,"""Taxi"" reverend who played bad guys in ""Star Trek III"" & ""Buckaroo Banzai""",Christopher Lloyd
HISTORY,$200 ,"After meeting this rival liberator in 1822, San Martin left South America",Simon Bolivar
HISTORY,$400 ,In 1616 Dutch explorer Willem Schouten rounded this cape that he named for his home town,Cape Horn
SPORTS,$400 ,The complicated rating system for this position includes percentage of interceptions per attempt,Quarterback
MUSIC,$200 ,"Usually, a prelude is an introduction to a fugue & this is one to an opera",Overture
MUSIC,$400 ,"Detache, richochet & tremolo are ways to use this on a violin",Bow
ANIMALS,$100 ,"In the Middle Ages this insect was dedicated to the Virgin & called ""The Beetle Of Our Lady""",Ladybug/Ladybird Beetle
ANIMALS,$200 ,Smaller forms of these birds are usually called doves,Pigeons
ANIMALS,$300 ,The largest members of this phylum are the giant squids & the smallest are snails,Mollusks
ANIMALS,$400 ,These arachnids differ from true spiders by the extreme length & thinness of their legs,Daddy Longlegs
ANIMALS,$500 ,"Surprisingly, the white, or beluga, species of this mammal can be found in the St. Lawrence River",Whale
SPORTS,$100 ,Tommy Lasorda managed this team to 4 National League pennants & 2 World Series championships,Los Angeles Dodgers
SPORTS,$200 ,The Vancouver Grizzlies & the Toronto Raptors are the newest franchises in this professional sport,Basketball
SPORTS,$300 ,"NHL teams that have moved to new, luxury box-filled arenas include the Boston Bruins & this city's Sabres",Buffalo
SPORTS,$400 ,"On November 19, 1996, he announced his retirement as Notre Dame football coach after an 11-year stint",Lou Holtz
SPORTS,$500 ,This golfing cup was presented by & named for a British seed merchant & was first awarded in 1927,Ryder Cup
ANIMALS,$100 ,"Even in the wild, this largest of apes takes a midday nap",gorilla
ANIMALS,$200 ,Name for both Chinese gooseberry & people of New Zealand comes from this bird,kiwi
ANIMALS,$300 ,"The only 2 venomous species of lizards, Gila monsters & beaded lizard, are native to this continent",North America
ANIMALS,$400 ,Cat-like animal raised for the secretions it produces which are used to make perfumes,civet
ANIMALS,$500 ,"According to New York's Bronx Zoo, it's ""the most dangerous animal in the world""",man
SPORTS,$100 ,"With 16, this team has won more NBA titles than any other",Boston Celtics
SPORTS,$200 ,Brothers Phil & Tony Esposito were both named to the hall of fame for this sport,Hockey
SPORTS,$400 ,The Nabisco Dinah Shore is one of the 4 events making up the Grand Slam of this sport for women,Golf
SPORTS,$500 ,This NFL quarterback is a great-great-great-grandson of Brigham Young,Steve Young
HISTORY,$200 ,"As a result of the Six-Day War of 1967, this Middle East canal remained closed until 1975",Suez Canal
HISTORY,$400 ,It was the last Indian empire in Mexico & Central America,Aztecs
SPORTS,$200 ,"After 36 seasons in this stadium named for a U.S. senator, the Redskins moved to a new facility in Sept. 1997",RFK (Robert F. Kennedy) Stadium
SPORTS,$400 ,He was the NBA's Coach of the Year twice: once with the Lakers & once with the Knicks,Pat Riley
ANIMALS,$100 ,"Like its giant relative, the lesser variety of this is also a bamboo eater",Panda
ANIMALS,$200 ,The macropis rufus; it can lean back on its tail to free its hind feet for use as weapons,Kangaroo
ANIMALS,$300 ,"A few of these large bovines still exist in the wild in Tibet at elevations over 14,000 feet",Yak
ANIMALS,$400 ,An elephant has 5 toes on a front foot & a camel has this many,2
ANIMALS,$500 ,They're the tallest North American birds,Whooping Cranes
MUSIC,$200 ,"While the military type of this composition is usually fast & upbeat, the funeral type is slow & somber",March
MUSIC,$400 ,"A famous series of concertos by Vivaldi, or Frankie Valli's group","""The Four Seasons"""
MUSIC,$400 ,"From the passage heard here, it's the common nickname of the following symphony by Haydn","""The Surprise Symphony"""
ANIMALS,$100 ,"Asia's only lions live in Gir Forest, about 200 miles northwest of Bombay in this country",India
ANIMALS,$200 ,The sting family of this fish has sharp poisonous dorsal spines near the tail,Ray
ANIMALS,$300 ,"Australia has over 300 species of these animals, including skinks, geckos & giant goannas",Lizards
ANIMALS,$400 ,This dark fluid is secreted by cuttlefish & other cephalopods,Ink
ANIMALS,$500 ,"Named for the texture of its shells, it's the largest living turtle",Leatherback
HISTORY,$200 ,This European capital was divided in 1948 & not reunified until 1990,Berlin
HISTORY,$400 ,This structure on Athens' Acropolis was badly damaged in 1687 during a Venetian bombardment,The Parthenon
SPORTS,$100 ,"With a 1996-97 salary of $30 million, he's the NBA's highest-paid player",Michael Jordan
SPORTS,$200 ,"On November 9, 1996 he beat Mike Tyson to win the heavyweight boxing title for the third time",Evander Holyfield
SPORTS,$300 ,"In the 1997 Sugar Bowl, this team won its 1st national football title by defeating Florida State, 52-20",University of Florida
SPORTS,$400 ,"In his first 2 months on the pro golf tour in 1996, this 20-year-old won almost $800,000",Tiger Woods
SPORTS,$500 ,The last 5 NL Rookies of the Year have been members of this west coast team,Los Angeles Dodgers
MUSIC,$200 ,"This German ""lullaby"" composer gave his first public recital at 14",Johannes Brahms
MUSIC,$400 ,It's a sign indicating the pitch of the notes on a musical staff; treble is one type,Clef
ANIMALS,$200 ,"Although these huge animals are generally docile, when the bulls go into musth they can turn violent",elephants
ANIMALS,$400 ,The largest member of the cat family,tiger
MOVIES,$100 ,Movie question posed by Barbra Streisand & Bugs Bunny,"What's up, doc?"
MOVIES,$200 ,Dustin Hoffman & Alec Guinness were considered for this role that won an Oscar for Ben Kingsley,Gandhi
MOVIES,$300 ,"Some of the character names rejected for this classic were ""Gaspy"", ""Daffy"", & ""Snoopy""",Snow White and the Seven Dwarfs
MOVIES,$400 ,"The make of car that starts up immediately after 200 years in Woody Allen's ""Sleeper""",Volkswagen Beetle
MUSIC,$200 ,"Also known for his virtuosity on the pennywhistle, this Irish flautist has taught at the Eastman School",James Galway
MUSIC,$400 ,"He composed the ""Eroica Variations"" before he wrote the ""Eroica Symphony""",Ludwig van Beethoven
ANIMALS,$100 ,"Among bears, this is the best swimmer",Polar bear
ANIMALS,$200 ,The jackrabbit isn't really a rabbit but one of these relatives,Hare
ANIMALS,$300 ,"Like this similarly named mammal, the aardwolf eats mainly termites",Aardvark
ANIMALS,$400 ,The Viceroy type of this insect is protected by its resemblance to the bad-tasting Monarch,Butterfly
ANIMALS,$500 ,"There are 3 species of bluebird but over 20 of these birds, including grackles",Blackbirds
ANIMALS,$200 ,"In a children's tale, Jack traded one of these barnyard animals for some magic beans",cow
ANIMALS,$400 ,Yipes Stripes!  The Grevy species of this was named for a president of France,zebra
ANIMALS,$200 ,"Like the falcon or hawk, the shrike is classified as a bird of this",Prey
ANIMALS,$400 ,Almost 99% of a jellyfish's body is made of this substance,Water
ANIMALS,$100 ,"""Sly"" creature sought by sportsmen riding to hounds",a fox
ANIMALS,$200 ,"The ""ship of the desert""",a camel
ANIMALS,$300 ,"The children are poults, the mothers, hens & the fathers,toms",turkeys
ANIMALS,$400 ,Name of the sport of hunting birds with other birds,falconry
ANIMALS,$500 ,Floating sea creature named by sailors for the Iberian fighting ship it resembles,the Portuguese man-of-war
HISTORY,$100 ,By the 6th century this group had joined with the Angles to found kingdoms in Britain,Saxons
HISTORY,$200 ,Ponce de Leon's 1513 quest was to find this legendary spring; they didn't have facelifts back then,Fountain of Youth
HISTORY,$300 ,This daughter of Chief Powhatan became a Christian & married an Englishman in 1614,Pocahontas
HISTORY,$400 ,In 1519 he sailed from Cuba to conquer the Aztec empire,Hernando Cortez
HISTORY,$500 ,Some call this son of Pepin & king of the Franks the Father of Europe,Charlemagne
ANIMALS,$200 ,It's the only Asian great ape,the orangutan
ANIMALS,$400 ,It's what an archerfish shoots to bring down insects,water
MUSIC,$400 ,"Contrapuntal is the adjectival form of this, the combination of melodic lines",counterpoint
SPORTS,$100 ,This offshoot of soccer is named for a school in England,rugby
SPORTS,$200 ,"The overarm ""crawl"" swimming stroke was introduced to England in 1902 from this country",Australia
SPORTS,$300 ,"Springfield, Massachusetts is site of this sport's Hall of Fame",basketball
SPORTS,$400 ,Marks which distinguish Wilson footballs used in college games from the ones they make for the pros,(white) stripes
SPORTS,$500 ,"When he KO'd Ingemar Johansson, 6/20/60, he became 1st man to regain heavyweight championship",Floyd Patterson
MUSIC,$400 ,The Everly Brothers sang close two-part ones,harmonies
ANIMALS,$200 ,A female sheep is called a ewe; this term refers to a male sheep,Ram
ANIMALS,$400 ,Receptors on the bill of this duckbilled mammal can detect electric fields which guide it to its prey,Platypus
ANIMALS,$200 ,This lizard of the Southwest is the USA's largest poisonous lizard,Gila Monster
ANIMALS,$400 ,It's the only living mammal in the order Proboseidea,Elephant
MUSIC,$200 ,"This man's aria ""Ombra Mai Fu"" from ""Xerxes"" is not as famous as his ""Hallelujah Chorus""",Handel
MUSIC,$400 ,"Liszt, Borodin & Rimsky-Korsakov all wrote variations of this simple waltz","""Chopsticks"""
SPORTS,$200 ,"The Greeks reckoned time from this event, first held in Olympia in 776 B.C.",the Olympics
HISTORY,$200 ,In 1978 this European country created a new canton for French-speaking Catholics,Switzerland
HISTORY,$400 ,"While mayor of Paris, he lost twice to Francois Mitterand in elections for the French presidency",Jacques Chirac
SPORTS,$100 ,The Arnold Palmer Award is given for the highest annual earnings in this sport,Golf
SPORTS,$200 ,"On January 6, 1997 Peter O'Malley announced this baseball team was for sale",Los Angeles Dodgers
SPORTS,$300 ,"This Atlanta team's Lenny Wilkens is the only active coach with more than 1,000 career NBA victories",Atlanta Hawks
SPORTS,$400 ,1 of 2 teams that have won 5 Super Bowls,Dallas Cowboys & San Francisco 49ers
SPORTS,$500 ,The U.S.O.C. named Dot Richardson this Olympic sport's 1996 Female Athlete of the Year,Softball
HISTORY,$200 ,Omar Khayyam's ancient Iran,Persia
HISTORY,$400 ,Ancient Yucatan tribe that had no schools but were excellent astronomers,the Mayans
HISTORY,$200 ,"Tho this country was given independence in 1922 under King Fuad I, British troops remained",Egypt
HISTORY,$400 ,"Finland was never an independent country until 1917, when it broke away from this country","Russia, U.S.S.R."
HISTORY,$100 ,In 1993 he hinted that he'd be willing to give up power if the U.S. ended its embargo of Cuba,Fidel Castro
ANIMALS,$100 ,This continent is home to both pacas & alpacas,South America
HISTORY,$200 ,"In 1951 Macao became an overseas province of this country, & in 1974 a ""Special Territory""",Portugal
ANIMALS,$200 ,One of these chilopoda arthropods has as many as 177 pairs of legs; most have 15 to 23 pairs,Centipede
HISTORY,$300 ,In 1867 Emperor Franz Joseph created this dual monarchy,Austria-Hungary
ANIMALS,$300 ,"A female one of the gypsy species of this insect can lay over 1,000 eggs at one time",Moth
HISTORY,$400 ,A skirmish over the theft of one of the Discovery's boats led to this explorer's murder in 1779,Captain James Cook
ANIMALS,$400 ,"To count a pair of these carnivorous sea snails, say ""A-one-an-a-two""",Whelks
HISTORY,$500 ,"Tradition says this country's first emperor, Menelik I, was the son of King Solomon & the Queen of Sheba",Ethiopia
ANIMALS,$500 ,The domestic one of these evolved from the mouflon & urial,Sheep
HISTORY,$200 ,"On December 2, 1804 this man crowned himself emperor",Napoleon Bonaparte
HISTORY,$400 ,"Around 600 B.C. some Phoenicians claimed to have sailed around this continent, 2,000 years before the Portuguese",Africa
ANIMALS,$100 ,Part of its body where you'll find a warthog's warts,its face
ANIMALS,$200 ,Owls are among the few birds to have these on the front of their heads,their eyes
ANIMALS,$300 ,Most lampreys live by attaching themselves to these,other fish
ANIMALS,$400 ,"When grasshoppers or other Orthoptera are stridulating, they're producing this",a song (or a sound)
ANIMALS,$500 ,"Varieties of these insects include bee, soldier, flower, blow & fruit",flies
SPORTS,$100 ,"The Borg-Warner Trophy, a replica of which is awarded at this May auto race, is insured for $1 million",Indianapolis 500
SPORTS,$200 ,Tom Landry coached this team to 270 wins during his 29-year career,Dallas Cowboys
SPORTS,$400 ,"Long jump rival Mike Powell reportedly called him ""The best track and field athlete ever""",Carl Lewis
SPORTS,$500 ,"A row of purple seats rings this ball park to mark a spot that's exactly 5,280 feet above sea level",Coors Field (the home of the Colorado Rockies)
HISTORY,$100 ,In 1493 he reached Montserrat in the West Indies & named it for a Spanish mountain,Christopher Columbus
HISTORY,$200 ,From 1815 to 1861 this principality on the Riviera was under the protection of Sardinia,Monaco
